experiment,feature,model,target,n_seeds,n_samples_mean,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std,Pearson_R_mean,Pearson_R_std,Spearman_R_mean,Spearman_R_std,MAPE_mean,MAPE_std,sMAPE_mean,sMAPE_std,NRMSE_mean,NRMSE_std
predictions_OpenADMET_FNN_ECFP,ECFP,FNN,HLM CLint,5,752.0,109.75788957938478,8.41347246523702,47.48648378093331,5.669588910614536,0.25746997773498725,0.06962439436174914,0.5177668303378967,0.05640118733858707,0.5349130838650316,0.0482939142348921,228.0937871509734,46.94356582171912,99.27360468577663,8.901293661922715,2.0600359382321862,0.1786799176155282
predictions_OpenADMET_FNN_ECFP,ECFP,FNN,KSOL,5,1026.0,81.86439559363676,1.7599291724073662,62.475637711084104,1.321703518419552,0.49629072448947154,0.020451518196810542,0.7075944476587788,0.013639128856197759,0.7040329289813075,0.019324686165519297,75.43109325946459,10.695215662571936,70.00484117926796,2.206252994894795,0.5611424567828178,0.008591351387705996
predictions_OpenADMET_FNN_ECFP,ECFP,FNN,LogD,5,1008.0,0.5000488974333778,0.01371611081430353,0.35407181588725917,0.006451526832569694,0.8213213026651826,0.007843631181984924,0.9066752884701057,0.004189304427939412,0.9064921812447222,0.0050483476700410555,14.848091334002167,0.2531520073630043,25.28779825089495,0.9921352838959753,0.22927461340082528,0.007281816976559792
predictions_OpenADMET_FNN_ECFP,ECFP,FNN,MLM CLint,5,905.0,840.5546241772838,34.16622872018807,424.20224949064504,32.555712581435195,0.3398753142581995,0.02928457864104982,0.5867346744443716,0.02700941472443288,0.6955287841640081,0.04096853134433936,166.52034252155045,34.611633695632335,84.04583753358075,7.598444788165226,1.468520132729794,0.05694643221539437
predictions_OpenADMET_Phase1_ElasticNet,AtomPair,XGBoost,HLM CLint,10,752.0,111.00706249707089,17.533929837606383,43.85086461373783,2.5132698973000056,0.2861717275279743,0.04925848126821735,0.5507524977140762,0.05329880510453243,0.6250952247253739,0.03265482197832904,208.2466562698258,21.717410536190826,87.51708215858967,4.3978198455525135,2.055073544524271,0.19842671838469111
predictions_OpenADMET_Phase1_ElasticNet,RDKitFP,XGBoost,HLM CLint,10,752.0,111.07116372837837,18.226854900020484,45.916538687581195,2.7823057199913013,0.2821535904832625,0.09558253506061419,0.550962616465971,0.07285192604235685,0.5747795310938523,0.02786535247345056,241.22272034536718,17.860665294966214,88.01869350192872,2.581547549561384,2.0564866988216295,0.2160952353110114
predictions_OpenADMET_Phase1_ElasticNet,TOPOTOR,XGBoost,HLM CLint,10,752.0,112.75670716220365,22.42226278123203,43.70517302295431,4.033481128035397,0.26602200478349736,0.11721459504713547,0.5182882975177557,0.11168086495148302,0.5964417085675261,0.029002166623775003,206.11097735807158,19.12225383230087,87.47238104369303,3.2191853453026464,2.0848042884579234,0.30073575346851117
predictions_OpenADMET_Phase1_ElasticNet,MACCS,XGBoost,HLM CLint,10,752.0,113.74775602040272,16.692366439732115,45.60593848955005,1.8440361702057944,0.24637508682594583,0.0879307911165762,0.5228095104902164,0.054598873018745296,0.5785506920173809,0.05310698057053243,240.5282862285954,34.04024104461525,90.01574398848254,4.3460049409131205,2.10649770121357,0.18465339522031754
predictions_OpenADMET_Phase1_ElasticNet,MOL2VEC,XGBoost,HLM CLint,10,752.0,114.84973690814527,19.465249930834243,45.341220848447385,2.9889750214396553,0.23348054925186684,0.11111529575063425,0.5129692387294786,0.08512404022010694,0.6059914913443866,0.031340474003802854,217.6945924618329,23.852834481452277,86.79760154367065,1.81522618105247,2.1270912390324663,0.25736130394033613
predictions_OpenADMET_Phase1_ElasticNet,RDKitFP,ElasticNet,HLM CLint,10,752.0,117.03196015552871,19.32542582133139,54.368157404064576,2.1822715667012984,0.20835645440622633,0.055198295145741594,0.45858940091248385,0.060568808668639985,0.46250042648863954,0.03590314516545544,328.5503713421136,30.830805185676248,112.51661832753737,3.344022154324635,2.1660820219321684,0.22902261149979924
predictions_OpenADMET_Phase1_ElasticNet,AtomPair,ElasticNet,HLM CLint,10,752.0,118.28350288204933,18.492524006395488,52.25270384080444,2.9347424031965863,0.18995628124626557,0.0458622435373053,0.4392052275026762,0.049544213067044,0.5428105491539463,0.030800550715058043,288.22927549428454,19.751702311708367,108.03580681630672,3.9054109031141997,2.1898722147123904,0.2084182806446219
predictions_OpenADMET_Phase1_ElasticNet,ECFP,ElasticNet,HLM CLint,10,752.0,119.34112932650376,19.625268915730317,52.40236222698418,3.50282844358587,0.1761442011507638,0.06917326704420408,0.4343437312239109,0.07297552743044441,0.5221390157677898,0.03176348041308722,294.49732834888385,26.446795851206037,106.14937313370028,4.607858737014047,2.208630522772218,0.231876712952652
predictions_OpenADMET_Phase1_ElasticNet,ECFP,XGBoost,HLM CLint,10,752.0,118.63058121971235,23.106277052435946,43.83489530988783,3.405595954061443,0.17475391415398783,0.22659838673027427,0.49799565214515384,0.0951130175566773,0.6133111524207624,0.04679710261887706,208.42609287672477,28.488262902644063,87.3198725502169,4.584744198502349,2.1965006570932872,0.34399900119170274
predictions_OpenADMET_Phase1_ElasticNet,MOL2VEC,ElasticNet,HLM CLint,10,752.0,120.85702310274579,19.049725039938817,55.59386254609899,2.9801750974088517,0.15395097462224788,0.06089217863356094,0.39807650024464863,0.06654266691882582,0.5183498118496883,0.027554114500774718,322.78550745596283,20.06992344030053,113.89913127560314,2.8711924278041923,2.2380613155657487,0.22474719270132504
predictions_OpenADMET_Phase1_ElasticNet,TOPOTOR,ElasticNet,HLM CLint,10,752.0,121.06628913441719,19.54524593050555,53.019480816796076,3.142695419651384,0.15223763258240364,0.050810373576592655,0.3919389578232991,0.0687236365864453,0.4999408384255258,0.022732398534991732,304.01790359810997,26.005713178279418,106.6874580067636,3.2777708179809952,2.24053847770321,0.21986541290212752
predictions_OpenADMET_Phase1_ElasticNet,MACCS,ElasticNet,HLM CLint,10,752.0,124.14302723890917,17.92071773839727,56.938874791503835,3.139699010167781,0.10627150124507578,0.026037231008903407,0.3327029705375815,0.03727442327545961,0.41824808970448596,0.013434990969582722,359.4972564466867,32.07983553288564,110.50826705546926,3.4471939868101376,2.299447649598493,0.19273741714492304
predictions_OpenADMET_Phase1_ElasticNet,AtomPair,XGBoost,KSOL,10,1026.0,77.09541434079216,1.9172950998097456,56.79092027423835,2.0454326849393256,0.5508645382369466,0.021167315648401862,0.7429513277541397,0.01445869017105974,0.7284066059248959,0.016821362341241708,75.46405874299812,8.55533954609107,67.4698286074998,2.239354361353284,0.5299253706233729,0.015508624809907555
predictions_OpenADMET_Phase1_ElasticNet,ECFP,XGBoost,KSOL,10,1026.0,77.27942579750838,1.0323833133869553,58.34054374036585,1.6480212806463768,0.5488519785904609,0.011861000541303738,0.742336811327698,0.00819228994693175,0.7285397286545333,0.012035225481522038,77.48400087470546,10.447845099213183,68.42130048105507,1.8430080983387949,0.5311601847869458,0.009309618264299194
predictions_OpenADMET_Phase1_ElasticNet,RDKitFP,XGBoost,KSOL,10,1026.0,78.1853956549292,1.367212715575463,57.931296291369904,1.6848092536539425,0.538061164327504,0.018676967608299386,0.7343846012865345,0.01272008513111442,0.7189330128273299,0.016350591973062094,76.09332179889734,9.9733810195364,67.9195882573136,2.117430757006254,0.5374546677869569,0.014375280487334777
predictions_OpenADMET_Phase1_ElasticNet,TOPOTOR,XGBoost,KSOL,10,1026.0,79.02041032454248,1.4948118257230298,59.97701895790071,2.247093912618803,0.5282603101996053,0.016429661255948875,0.7285198791856394,0.010770271697648307,0.7154113087577587,0.013116430386014536,79.70965468824173,8.94827584137003,68.99095521999212,1.9401804653823345,0.5431748325490506,0.014201729694755274
predictions_OpenADMET_Phase1_ElasticNet,MOL2VEC,XGBoost,KSOL,10,1026.0,79.53099615128824,1.4402659505940536,60.06746826157452,1.2449565786595551,0.522084015002741,0.017989668288002327,0.7233048848688348,0.012783128355396096,0.7134769093248059,0.015234349029677232,78.96781518724114,8.076855525276823,69.45969762278477,1.7869606767852928,0.5466607940781542,0.012940520568681606
predictions_OpenADMET_Phase1_ElasticNet,MACCS,XGBoost,KSOL,10,1026.0,82.01321327223867,0.7767490914969013,61.442123151607156,1.4525397288139064,0.4919477847981787,0.008109474021458627,0.7029906787345364,0.005609932504254914,0.6847902106257677,0.009658303731169998,79.37574444270868,11.789754336697756,70.07648673237134,2.3013940678612657,0.563788771456373,0.013616359504639788
predictions_OpenADMET_Phase1_ElasticNet,ECFP,ElasticNet,KSOL,10,1026.0,83.99689692502778,1.457109821078059,68.2851988983443,1.5268304256014782,0.46695672016768175,0.018327230177000556,0.6852070050423171,0.013317001192400615,0.6788159951045847,0.01690329636124075,87.14344002911506,11.91476484640017,74.71504474451129,1.7361978803210503,0.5773385119650292,0.012351577469577405
predictions_OpenADMET_Phase1_ElasticNet,MOL2VEC,ElasticNet,KSOL,10,1026.0,84.57782079735576,2.1646479922916773,68.31397059917963,1.6235379600447173,0.45949458706137064,0.025101217348873564,0.6783585341290423,0.0183438003921708,0.6857536480227271,0.019914478113962006,88.36192926649012,10.08858439395178,75.06055931830514,1.9162124478827254,0.5812856424743786,0.014696688655174327
predictions_OpenADMET_Phase1_ElasticNet,RDKitFP,ElasticNet,KSOL,10,1026.0,85.15619153242497,1.4951234395020194,68.40322434899664,1.290693291563521,0.452085884442225,0.020573123508410573,0.6730404330548428,0.015382196118791797,0.6629596462773695,0.02086607724333331,88.2603871415381,11.908733894938495,74.14773513554006,1.8801658598195523,0.5853671706897401,0.01544273574584535
predictions_OpenADMET_Phase1_ElasticNet,AtomPair,ElasticNet,KSOL,10,1026.0,85.91741588692285,1.9364874714184281,68.65915823779132,2.0861824844930132,0.44231692346412455,0.021792692365392035,0.6655967065427241,0.016669508242386225,0.6594027933735191,0.019611749599299833,89.00538559822475,12.228894678278,75.15059906217225,2.5397171989566356,0.590618052030889,0.018496023910898232
predictions_OpenADMET_Phase1_ElasticNet,TOPOTOR,ElasticNet,KSOL,10,1026.0,87.48915924850863,1.7459400107126655,71.42673615996998,1.5113492203622239,0.4217032018188516,0.02153813220971503,0.6502838888106258,0.016445261773933583,0.6504024977803329,0.018563393079949517,92.53229880872313,11.387902119556609,75.95550894476325,2.0777016257202425,0.6013062242686742,0.012413206051021704
predictions_OpenADMET_Phase1_ElasticNet,MACCS,ElasticNet,KSOL,10,1026.0,95.90724595298074,1.3914236918934622,80.7593071713112,0.881426813939113,0.30515041494864176,0.018949179075753376,0.5540833136587763,0.016309888335289565,0.5479173633633715,0.02069440527887712,98.308810887634,13.28386116232789,81.09472806981962,1.833850895751281,0.6592705362792086,0.016204183241554693
predictions_OpenADMET_Phase1_ElasticNet,ECFP,XGBoost,LogD,10,1008.0,0.5008460371446855,0.030720079589807346,0.36347200462880125,0.01795575992369977,0.8212379800339459,0.0168269593978334,0.906795982619563,0.009120723462242792,0.9044396147865715,0.007010794643866279,15.408783182565069,0.8215832160240063,25.87814629314865,1.2774384841736084,0.23220158028857996,0.014885180531579901
predictions_OpenADMET_Phase1_ElasticNet,MOL2VEC,XGBoost,LogD,10,1008.0,0.5333532031912018,0.02399884554935118,0.38585435827222037,0.012350766447913447,0.7973651768600123,0.014007231716766306,0.8946135982035524,0.007958196456836812,0.8901796439958763,0.008023267016824993,15.79530141113363,0.47190303498633374,27.03962811284729,1.2518541691181464,0.24724499905786362,0.011326594288443766
predictions_OpenADMET_Phase1_ElasticNet,AtomPair,XGBoost,LogD,10,1008.0,0.5404086271050954,0.03223731457414894,0.3880484759712237,0.014179870462738556,0.7919451523957919,0.018452184688281362,0.8909950316773845,0.010286065256668015,0.8891625268909392,0.009113775662154055,15.962424457126492,0.7250783550797175,27.272845134263303,1.1649230437878075,0.2505545835305308,0.01580997680968045
predictions_OpenADMET_Phase1_ElasticNet,MOL2VEC,ElasticNet,LogD,10,1008.0,0.5492382437745509,0.028610043855478228,0.3981893832130092,0.012954231526291568,0.7849820391135046,0.018382361435948177,0.8866858230474989,0.010082860257665364,0.8861464404041367,0.005991991386802596,16.753488242003726,0.5428852358711179,28.663483123540807,1.3214168563233233,0.25463943918254295,0.014095157127418925
predictions_OpenADMET_Phase1_ElasticNet,TOPOTOR,XGBoost,LogD,10,1008.0,0.5709479352352387,0.03596282948906198,0.4181174023313141,0.021661161670276232,0.767598188466694,0.024422269892159894,0.8768407571731087,0.013764932416579318,0.8735592544502415,0.015558547306437956,17.26542721803118,1.0743681596081585,29.404307004832077,1.3980133546587357,0.2647187575368899,0.017745510882052513
predictions_OpenADMET_Phase1_ElasticNet,MACCS,XGBoost,LogD,10,1008.0,0.575081929685136,0.023306223054278725,0.4241714770049952,0.012012722552241008,0.764362685238863,0.01585577268952219,0.8746290122268713,0.009192092573856366,0.8666263686932891,0.010245965949099604,18.122708744326467,0.3543854115101226,29.230546275200822,1.052581414278387,0.26654061697350734,0.009661635222783741
predictions_OpenADMET_Phase1_ElasticNet,ECFP,ElasticNet,LogD,10,1008.0,0.585169208593528,0.022643948954954873,0.44196591219792564,0.014661978721043932,0.7560737646559402,0.015115244382562128,0.8701536328823456,0.008221054492936279,0.8646299443547114,0.008408207856439483,18.877043079537728,0.7578850763767284,30.761154981233563,1.39186534611422,0.27128799948789534,0.011446326987388594
predictions_OpenADMET_Phase1_ElasticNet,RDKitFP,XGBoost,LogD,10,1008.0,0.6097469263256925,0.02490760118573107,0.43931969777388274,0.01743849586752548,0.7351568519109284,0.017146600539546725,0.8583379905980904,0.009889991004175615,0.8567129706163283,0.009549068909298434,18.348939234946748,0.8737351994637287,30.330800159410238,1.597451196842147,0.2826861342488304,0.012535854470621187
predictions_OpenADMET_Phase1_ElasticNet,AtomPair,ElasticNet,LogD,10,1008.0,0.6853660460720674,0.030941898859732836,0.5161430379193983,0.015137369886153723,0.6653755451858648,0.023367325823212885,0.8163028890237329,0.01427172730050622,0.8097747245497077,0.010851706193626158,21.289987198970046,0.857797952368304,34.177042065955774,1.5990409445428837,0.31770220499439294,0.014354199149648868
predictions_OpenADMET_Phase1_ElasticNet,TOPOTOR,ElasticNet,LogD,10,1008.0,0.6873885755865936,0.03391222464894271,0.5204262868762334,0.018882200126216,0.663466973513172,0.024538922127782723,0.8154490283304483,0.014965684728435848,0.8073246715911596,0.016584851746235564,21.647152450224468,1.0318468395323661,35.28936411353533,1.5980467620811407,0.31868930560646824,0.016725040562882834
predictions_OpenADMET_Phase1_ElasticNet,RDKitFP,ElasticNet,LogD,10,1008.0,0.714673955526749,0.034487254954668346,0.5405465887626864,0.018581836730565193,0.635992777386394,0.029100924601954296,0.7980617533726897,0.018183119517760575,0.7842408617102521,0.017927632645802938,22.408942463021226,0.7751952526219138,35.39491565103532,1.378507536403501,0.3312521099863477,0.015192739817533064
predictions_OpenADMET_Phase1_ElasticNet,MACCS,ElasticNet,LogD,10,1008.0,0.7684784675498624,0.023837294369765238,0.5959503632493149,0.014140653586526362,0.5792983157066088,0.02279748653847111,0.7624679194460227,0.015367333193273885,0.7361037849334163,0.017934120906724325,24.383095959466296,0.5334831591733749,37.68042759620628,1.291528688852674,0.35622032685503885,0.010702581800663184
predictions_OpenADMET_Phase1_ElasticNet,AtomPair,XGBoost,MLM CLint,10,905.0,755.5615880127319,61.65592087932546,389.43851573250504,19.99904088928492,0.4225423361105771,0.052616152958881265,0.6526175525259925,0.038619056717469576,0.7435951035578575,0.018520366403877133,170.15916771354054,11.920949814779538,83.26887141665136,2.266601435375492,1.3403539239619071,0.06184445476164107
predictions_OpenADMET_Phase1_ElasticNet,ECFP,XGBoost,MLM CLint,10,905.0,786.7936317750858,79.39115638367974,398.156533817027,24.516175076543743,0.3756470316902293,0.06115009686701961,0.6218611068884409,0.04610730833484065,0.7361995658942062,0.014751402340292444,175.2576035503005,10.710368932157108,86.36030125120378,2.022688044940514,1.3954514218380973,0.10108865765739185
predictions_OpenADMET_Phase1_ElasticNet,RDKitFP,XGBoost,MLM CLint,10,905.0,793.7615040466571,73.95972344610816,416.5942850415833,26.482605399456844,0.36489412023483453,0.04540709766810117,0.6072068672540649,0.03597684946182805,0.697158193711428,0.013786025346724459,198.72538305661243,10.369791543801718,84.89806430235268,2.105412099827181,1.40782340495096,0.08778258081179838
predictions_OpenADMET_Phase1_ElasticNet,MOL2VEC,XGBoost,MLM CLint,10,905.0,797.5254407031127,71.76780142514255,418.9390751762485,21.372094750712524,0.35855555019506086,0.04291332925712259,0.6049769904346889,0.0358649380648783,0.7104143984205133,0.017443065233921327,195.5172079030929,13.750623621946554,87.067419654085,2.540430533745876,1.4150733855492672,0.09060005497977601
predictions_OpenADMET_Phase1_ElasticNet,TOPOTOR,XGBoost,MLM CLint,10,905.0,815.3659267107632,69.05888182300218,419.0114573583113,22.992416540079578,0.3285322109576635,0.05239756294975229,0.5778670909083967,0.04541024162144164,0.7088859659912922,0.0196028275771885,189.34310788648827,12.682381391269661,88.54304160927808,2.458180724181763,1.4466545819412409,0.07962194383500378
predictions_OpenADMET_Phase1_ElasticNet,RDKitFP,ElasticNet,MLM CLint,10,905.0,834.2437795844204,74.93921973496177,466.990190397672,24.333543618347957,0.2992781311542302,0.024122021012516173,0.5501208767013767,0.021021403446762874,0.6294235567016594,0.027241923428442866,237.56362057895421,11.820677560623801,101.06777932297074,1.7981559182831726,1.4799903029876968,0.0910732822124085
predictions_OpenADMET_Phase1_ElasticNet,MACCS,XGBoost,MLM CLint,10,905.0,835.1220355573525,57.81972733192105,431.385764411357,16.91420186498053,0.2917967427050029,0.08386193351183584,0.560559856245836,0.041854364169413176,0.7134796747722192,0.016024349582661676,188.2902262739837,11.727655439201392,87.51998042014442,2.2291813893286587,1.48276160614688,0.0681405044072425
predictions_OpenADMET_Phase1_ElasticNet,ECFP,ElasticNet,MLM CLint,10,905.0,838.9284874000587,81.17671993584536,467.03425247544084,25.13176703715634,0.29178031118190506,0.03486865623440738,0.5436068142115705,0.03298283487380449,0.652260451752881,0.020121023926664934,234.35952463125932,12.82279343818089,101.16724305709545,1.4546210948406852,1.4879909671418636,0.10127765036843686
predictions_OpenADMET_Phase1_ElasticNet,AtomPair,ElasticNet,MLM CLint,10,905.0,851.4561157156315,82.34421893834887,471.5267960337218,20.897035053886082,0.2706859630446531,0.030651378140558447,0.5250402631650991,0.030524671682851202,0.6585540627547213,0.018874470309490958,232.13168216900584,13.288362970737053,101.23528489881751,2.8186449795389814,1.5104766070785136,0.10585485663219865
predictions_OpenADMET_Phase1_ElasticNet,TOPOTOR,ElasticNet,MLM CLint,10,905.0,866.7136550612142,88.37523137944684,479.82513082639133,22.292685749939597,0.2451240037625369,0.03145719138963545,0.4977497055245319,0.03049112538020974,0.6251862182041188,0.019610957735287295,242.267906502729,11.66020938878723,102.07555652988133,1.6113669959006922,1.5372698851214364,0.11558380617279974
predictions_OpenADMET_Phase1_ElasticNet,MOL2VEC,ElasticNet,MLM CLint,10,905.0,867.7998503219102,86.34192844947984,493.99182061261763,23.086832755170654,0.24263802054465575,0.035152046323930944,0.4938380009586279,0.03600683188546513,0.6332928326596955,0.014179230228265184,256.25893437894774,7.042161095818116,104.36785939192865,1.3952624035383385,1.5393238547879087,0.11213739282966786
predictions_OpenADMET_Phase1_ElasticNet,MACCS,ElasticNet,MLM CLint,10,905.0,912.6575441695719,83.65465378700436,516.3738617035281,22.236078681069916,0.161644831470509,0.026981774317469086,0.4042017148798894,0.03146101840872363,0.5838915650996535,0.011420092334847587,271.0163441218889,12.032305047147549,106.19377320711683,1.0781715423893352,1.6193822060053655,0.10813492519395426
predictions_OpenADMET_Phase2_KNN,RDKitFP,KNN,HLM CLint,10,752.0,111.82468154579271,20.130767588522186,42.53873786378915,3.385120117712386,0.27842652758107916,0.07531558249889554,0.5374932300261305,0.06788652524998426,0.6299503545560821,0.01665025415415551,176.56680736683526,14.814715998813778,80.36836606209826,1.7303727062407652,2.0681045328734156,0.2484692854057059
predictions_OpenADMET_Phase2_KNN,AtomPair,KNN,HLM CLint,10,752.0,113.23745457474863,20.208773767841834,41.37314553365458,3.5070897358497986,0.25813284582486956,0.09491335753369388,0.5254654025340278,0.07664927706280636,0.6908074460580413,0.02159985813033505,152.77443081881975,13.38207049330178,76.06684079406674,2.5788582471402375,2.0954884137260392,0.2615048806347937
